"","bottle_id","time","dissolved_c","dissolved_n","depth","chlorophyll","ph","oxygen","NO2_NO3_bottle_hot"
"1",440200512,1993-01-20,89.65,5.19,9.1,0.11,8.094,212.5,0
"2",440200511,1993-01-20,86.04,5.06,24.7,0.16,8.095,212.3,0.01
"3",440200509,1993-01-20,84.96,5.31,45.3,0.19,8.092,212.8,0
"4",440200507,1993-01-20,80.76,5.36,75.5,0.21,8.097,213.1,0
"5",450200621,1993-02-17,85.85,4.82,5.1,0.08,8.102,208.6,0
"6",450200618,1993-02-17,88.49,4.83,24.3,0.08,8.089,209.5,0
"7",450200616,1993-02-17,78.42,5.34,45.4,0.11,8.087,210.6,0.01
"8",450200614,1993-02-17,72.46,5.33,74.3,0.29,8.073,207.1,0.18
"9",460200323,1993-04-14,91.6,6.35,3.8,0.07,8.089,214.4,0
"10",460200320,1993-04-14,89.45,5.78,26,0.07,8.09,214.3,0.02
"11",460200316,1993-04-14,85.64,6,75.5,0.1,8.088,215.2,0.01
"12",500200623,1993-10-29,94.33,5.01,7.1,0.08,8.114,201.4,0.01
"13",500200622,1993-10-29,91.4,5.66,17.2,0.08,8.115,201.3,0.01
"14",500200618,1993-10-29,77.04,5.73,48.4,0.08,8.11,204.7,0.01
"15",500200617,1993-10-29,78.99,6.21,58.5,0.09,8.106,208.3,0.01
"16",500200615,1993-10-29,73.04,5.87,78.9,0.14,8.083,230.5,0.01
"17",550200418,1994-07-25,93.67,6.03,43.8,0.1,8.107,204.8,0
"18",550200416,1994-07-25,82.72,6.32,74.3,0.22,8.095,216,0
"19",560200517,1994-08-30,81.55,5.77,35.2,0.08,8.11,178.9,0
"20",560200515,1994-08-30,77.35,5.81,59.6,0.14,8.096,193.4,0.01
"21",560200514,1994-08-30,76.07,5.75,75.9,0.17,8.085,197.8,0.02
"22",570200417,1994-09-23,88.49,5.58,35,0.08,8.109,168.4,0.01
"23",570200416,1994-09-23,103.05,6.34,44.6,0.08,8.11,169.2,0.01
"24",570200415,1994-09-23,103.04,5.5,59.9,0.11,8.102,174.3,0.02
"25",570200414,1994-09-23,91.02,6,75.2,0.17,8.095,186.2,0.03
"26",580200617,1994-10-15,91.61,5.78,44.6,0.07,8.103,187.4,0.01
"27",580200616,1994-10-15,92.78,5.66,59.5,0.08,8.101,187.6,0.01
"28",590200521,1994-11-20,117.1,5.57,5.3,0.13,8.106,206.6,0
"29",590200518,1994-11-20,110.65,6.54,25.2,0.13,8.105,206.6,0
"30",590200517,1994-11-20,95.91,5.91,34.2,0.13,8.106,206.7,0
"31",590200516,1994-11-20,89.17,5.27,43.2,0.13,8.106,206.9,0
"32",590200515,1994-11-20,81.26,5.1,58.7,0.12,8.107,207.1,0
"33",590200514,1994-11-20,89.46,4.54,74,0.13,8.106,207.2,0
"34",600200518,1995-02-06,103.67,6.8,34.1,0.09,8.089,216.2,0.01
"35",600200517,1995-02-06,101.81,6.21,43.8,0.08,8.088,216.2,0
"36",600200516,1995-02-06,98.47,6.31,59.8,0.12,8.092,216,0.01
"37",600200515,1995-02-06,96.6,6.4,74.9,0.16,8.093,214.9,0.02
"38",610200418,1995-03-04,94.75,6.06,34,0.07,8.082,213,0
"39",610200417,1995-03-04,93.56,6.89,44.7,0.08,8.069,212,0
"40",610200416,1995-03-04,93.27,9.36,57.9,0.12,8.061,209.4,0.01
"41",610200415,1995-03-04,93.56,5.82,78,0.16,8.052,208.3,0.02
"42",630200523,1995-05-07,86.64,4.19,5,0.09,8.086,214.9,0.01
"43",630200519,1995-05-07,85.37,4.87,24.7,0.11,8.086,214.8,0.01
"44",630200517,1995-05-07,85.96,5.23,45,0.1,8.087,214.7,0
"45",630200516,1995-05-07,84.87,4.99,59.5,0.15,8.086,215.6,0.01
"46",640200523,1995-07-30,112.61,6.43,5,0.05,8.096,208.7,0
"47",640200520,1995-07-30,110.36,6.02,24.4,0.05,8.096,208.7,0
"48",640200519,1995-07-30,107.43,5.81,35,0.05,8.096,208.7,0
"49",640200518,1995-07-30,101.72,5.96,45.1,0.05,8.096,208.6,0
"50",640200517,1995-07-30,92.49,6.26,60.1,0.08,8.095,222.7,0
"51",640200516,1995-07-30,90.92,5.78,74.9,0.1,8.085,218.8,0.01
"52",650200423,1995-08-28,88,5.88,4.7,0.05,8.102,207.2,0.01
"53",650200420,1995-08-28,84.38,5.26,25,0.05,8.101,207.3,0
"54",650200419,1995-08-28,81.55,5.3,44.3,0.08,8.1,206.6,0.01
"55",650200418,1995-08-28,82.52,5.29,60.3,0.11,8.094,209.5,0.01
"56",650200417,1995-08-28,80.08,5.15,74.4,0.15,8.08,213,0.02
"57",660200522,1995-09-27,83.41,5.94,5,0.05,8.102,202.1,0.01
"58",660200519,1995-09-27,84,5.58,24.8,0.06,8.103,202,0.01
"59",660200518,1995-09-27,79.31,6.08,35,0.05,8.102,203.3,0
"60",660200517,1995-09-27,76.43,6.11,45.5,0.07,8.097,208.4,0
"61",660200516,1995-09-27,78.52,5.96,60.4,0.09,8.088,221.8,0.04
"62",660200515,1995-09-27,74.9,5.56,74.5,0.12,8.08,230,0.03
"63",670200618,1995-10-27,93.46,5.6,24.4,0.06,8.106,204.6,0
"64",670200617,1995-10-27,91.21,5.84,44.3,0.06,8.106,204.9,0.03
"65",670200615,1995-10-27,88.67,6.09,75,0.08,8.105,205.2,0.02
"66",680200622,1995-11-17,105.58,5.25,5,0.08,8.107,204.8,0
"67",680200619,1995-11-17,101.38,4.9,24,0.09,8.108,204.9,0.01
"68",680200618,1995-11-17,98.15,4.97,34.5,0.1,8.106,204.9,0.01
"69",680200617,1995-11-17,99.81,5.65,44.3,0.1,8.107,205,0.02
"70",690200721,1996-01-17,101.09,5.62,4.6,0.07,8.102,207.5,0.01
"71",690200718,1996-01-17,96.79,6.51,24.9,0.07,8.1,207.7,0.03
"72",690200716,1996-01-17,91.08,5.56,44.8,0.09,8.097,208.5,0.01
"73",690200715,1996-01-17,85.36,5.85,59.6,0.1,8.095,209.1,0.01
"74",690200714,1996-01-17,82.92,6.02,74.6,0.13,8.087,209,0
"75",700200618,1996-03-27,110.86,6.08,24.4,0.05,8.088,212.7,0.03
"76",700200617,1996-03-27,103.34,5.93,34,0.04,8.088,212.7,0.01
"77",700200616,1996-03-27,103.49,5.53,44.3,0.06,8.088,213.7,0
"78",700200615,1996-03-27,105,5.35,58.8,0.07,8.088,215.1,0
"79",700200614,1996-03-27,103.33,5.49,72.8,0.08,8.082,215.3,0.01
"80",710200622,1996-04-24,118.88,6.05,4.6,0.04,8.095,215.4,0.02
"81",710200619,1996-04-24,116.24,5.28,23.6,0.04,8.093,209.5,0.01
"82",710200618,1996-04-24,115.26,6.33,34.3,0.04,8.094,214.3,0.01
"83",710200617,1996-04-24,100.02,6.33,44.1,0.05,8.094,214.5,0.01
"84",710200616,1996-04-24,91.23,6.22,59,0.06,8.095,215.4,0.01
"85",710200615,1996-04-24,84.78,5.66,74.1,0.08,8.086,214.7,0.02
"86",720200221,1996-05-22,109.98,5.99,5.1,0.03,8.093,210.7,0
"87",720200218,1996-05-22,100.69,5.65,24.6,0.04,8.093,212.3,0
"88",720200217,1996-05-22,113,6.33,35.1,0.04,8.093,214.6,0
"89",720200216,1996-05-22,108.26,6.07,44.5,0.05,8.09,217.1,0.01
"90",720200215,1996-05-22,89.26,5.75,61.1,0.06,8.087,219.5,0.04
"91",720200214,1996-05-22,85.06,6.28,75.1,0.09,8.08,219.9,0.04
"92",730200619,1996-06-26,92.91,6.24,24.6,0.03,8.098,205.3,0
"93",730200618,1996-06-26,93.6,6.19,35.2,0.03,8.098,205.7,0
"94",730200617,1996-06-26,81.02,6.22,45,0.08,8.09,214.1,0
"95",730200615,1996-06-26,74.22,6.18,74.4,0.13,8.086,221.5,0.01
"96",740200618,1996-07-27,87.04,5.91,33.9,0.04,8.104,207,0
"97",740200617,1996-07-27,81.33,7.46,44.6,0.07,8.105,207.1,0.02
"98",740200615,1996-07-27,71.59,6.01,74.8,0.12,8.088,219.2,0.02
"99",750200619,1996-08-21,92.21,5.8,34.6,0.05,8.107,203.6,0
"100",750200617,1996-08-21,80.68,5.94,59.8,0.08,8.099,220.3,0
"101",750200616,1996-08-21,76.57,6.39,74.5,0.1,8.093,221,0.01
"102",760200622,1996-10-02,102.94,5.76,14.2,0.08,8.118,199,0
"103",760200620,1996-10-02,99.72,5.76,24.2,0.09,8.118,199,0
"104",760200619,1996-10-02,106.46,5.58,34.9,0.09,8.117,201.1,0.01
"105",760200617,1996-10-02,99.81,5.52,59.6,0.13,8.113,200.9,0.01
"106",770200422,1996-10-30,100.78,5.9,4.3,0.07,8.114,203.5,0.01
"107",770200418,1996-10-30,102.74,4.01,34.9,0.07,8.112,203.4,0
"108",770200417,1996-10-30,101.91,6.02,43.7,0.07,8.113,203.5,0.01
"109",770200416,1996-10-30,95.51,5.54,59.6,0.08,8.114,203.5,0
"110",770200415,1996-10-30,97.56,5.99,74.1,0.12,8.108,209.1,0
"111",780200621,1996-12-11,120.32,5.13,4.3,0.16,8.102,209.6,0
"112",780200620,1996-12-11,116.42,5.59,14.6,0.16,8.101,209.6,0.01
"113",780200618,1996-12-11,115.34,5.56,24.2,0.17,8.103,209.6,0.02
"114",780200617,1996-12-11,111.63,5.63,35,0.15,8.103,209.6,0.04
"115",780200616,1996-12-11,108.07,5.31,44.5,0.15,8.102,209.6,0.03
"116",780200615,1996-12-11,104.31,5.65,59.5,0.15,8.102,209.6,0.04
"117",780200614,1996-12-11,101.96,5.97,74.2,0.16,8.103,209.6,0.02
"118",790200622,1997-01-08,104.31,5.5,4.3,0.09,8.094,210.6,0
"119",790200621,1997-01-08,108.6,5.74,14.2,0.09,8.093,210.5,0.01
"120",790200618,1997-01-08,108.21,5.4,34.4,0.1,8.091,210.4,0
"121",790200617,1997-01-08,98.4,5.64,44.2,0.11,8.088,210.6,0
"122",790200615,1997-01-08,99.42,5.12,75,0.2,8.062,209.6,0.01
"123",800200622,1997-02-18,94.93,5.96,4.5,0.09,8.07,210.3,0
"124",800200621,1997-02-18,95.42,5.63,15.2,0.09,8.074,210.3,0.01
"125",800200619,1997-02-18,98.16,5.66,24.5,0.1,8.073,210.4,0.01
"126",800200618,1997-02-18,97.47,7.4,33.9,0.1,8.071,210.4,0
"127",800200617,1997-02-18,94.35,7.29,44.4,0.1,8.07,210.3,0.01
"128",800200616,1997-02-18,91.81,5.93,60.1,0.11,8.074,210.2,0.03
"129",800200615,1997-02-18,86.24,5.97,74.5,0.12,8.068,210.4,0.03
"130",810200622,1997-03-12,101.18,5.33,4.5,0.07,8.072,214,-0.01
"131",810200621,1997-03-12,100.88,5.22,14.5,0.09,8.067,216,0
"132",810200619,1997-03-12,99.12,5.63,24.8,0.1,8.054,217.2,0
"133",810200618,1997-03-12,94.73,5.4,35.5,0.12,8.039,216.3,0.02
"134",810200617,1997-03-12,98.54,5.57,44.6,0.11,8.057,209.7,0.02
"135",810200616,1997-03-12,98.05,5.21,59.9,0.16,8.053,219.1,0.01
"136",810200615,1997-03-12,95.12,6.12,75.2,0.18,8.044,216,0.02
"137",820200622,1997-04-09,94.44,5.29,5.1,0.06,8.064,216,0.01
"138",820200621,1997-04-09,94.74,5.24,15.2,0.06,8.064,211.5,0
"139",820200619,1997-04-09,88.68,5.7,25.4,0.07,8.066,216.1,0.01
"140",820200618,1997-04-09,89.85,5.64,34.9,0.07,8.063,216.1,0
"141",820200617,1997-04-09,93.27,5.5,44.3,0.07,8.064,216.2,0.02
"142",820200615,1997-04-09,94.53,5.01,75,0.38,8.012,205.5,0.38
"143",830200624,1997-05-07,94.94,5.75,4.2,0.07,8.096,210.1,0.01
"144",830200622,1997-05-07,98.55,5.38,25,0.07,8.095,210.2,0.02
"145",830200620,1997-05-07,93.96,5.72,45.3,0.08,8.095,210.5,0
"146",840200622,1997-06-04,104.8,5.6,5.2,0.06,8.105,206.4,0
"147",840200619,1997-06-04,106.95,5.65,24.7,0.06,8.104,206.6,0
"148",840200618,1997-06-04,102.07,5.59,35.2,0.06,8.104,206.6,0
"149",840200617,1997-06-04,93.47,5.58,45.6,0.07,8.105,208.6,0.01
"150",840200616,1997-06-04,92.39,5.8,60.6,0.1,8.1,211.8,0
"151",850200622,1997-07-09,123.15,5.86,5.1,0.07,8.098,206.7,0
"152",850200621,1997-07-09,118.07,5.72,14.8,0.07,8.099,206.7,0
"153",850200619,1997-07-09,118.17,5.87,24.4,0.07,8.099,206.7,0
"154",850200618,1997-07-09,112.11,6.34,35.8,0.07,8.098,206.7,0
"155",850200617,1997-07-09,108.94,6.06,45.3,0.08,8.098,206.7,0
"156",850200615,1997-07-09,103.13,6.41,75.3,0.11,8.092,216.6,0.01
"157",860200222,1997-08-02,102.15,6.76,4.6,0.05,8.099,206.4,0.02
"158",860200221,1997-08-02,99.12,5.71,14.3,0.05,8.099,206.4,0.01
"159",860200219,1997-08-02,94.33,5.99,24.9,0.05,8.098,207.1,0.01
"160",860200217,1997-08-02,90.52,6.44,43.9,0.06,8.099,207.1,0
"161",860200216,1997-08-02,87.79,6.34,59.9,0.09,8.096,215.5,0.02
"162",870200222,1997-09-25,92.76,6.79,4.5,0.05,8.107,204.3,0
"163",870200221,1997-09-25,101.65,6.62,14,0.06,8.107,204.3,0.01
"164",870200219,1997-09-25,98.33,6.17,25.2,0.06,8.107,204.4,0
"165",870200217,1997-09-25,101.85,7.3,44.7,0.06,8.106,205,0
"166",870200215,1997-09-25,92.19,7.49,75.5,0.1,8.103,221.6,0.01
"167",880200221,1997-12-05,96.09,6.37,5.3,0.15,8.1,208.6,0
"168",880200220,1997-12-05,90.13,8.94,14.6,0.16,8.098,208.5,0.01
"169",880200219,1997-12-05,92.77,6.23,25.3,0.16,8.1,208.5,0.01
"170",880200218,1997-12-05,87.2,6.34,33.2,0.15,8.1,208.5,0.01
"171",880200217,1997-12-05,85.93,6.45,43.6,0.15,8.099,208.5,0.01
"172",880200215,1997-12-05,86.62,6.72,73.8,0.16,8.096,208.5,0.02
"173",890200622,1998-01-11,104.1,5.2,4.6,0.08,8.089,211.1,0
"174",890200619,1998-01-11,102.04,6.23,24.6,0.08,8.089,210.8,0.01
"175",890200618,1998-01-11,101.65,5.87,34.6,0.1,8.084,208.9,0.02
"176",890200617,1998-01-11,98.19,6.1,43.6,0.15,8.078,210.9,0.02
"177",900200522,1998-02-19,107.31,6.43,5.1,0.08,8.084,217.5,0
"178",900200521,1998-02-19,108,5.78,13.8,0.07,8.086,217.4,0
"179",900200519,1998-02-19,103.11,6.01,24.5,0.08,8.085,217.2,0.01
"180",900200518,1998-02-19,94.13,6.71,34.9,0.09,8.085,215.5,0.01
"181",900200516,1998-02-19,88.95,6.14,59.5,0.12,8.079,214,0.01
"182",900200515,1998-02-19,85.73,5.73,74,0.14,8.072,213.1,0.02
"183",910200622,1998-03-18,108,6.62,4.1,0.06,8.092,209.9,0
"184",910200621,1998-03-18,99.12,5.54,14.8,0.07,8.094,210.3,0
"185",910200619,1998-03-18,103.02,5.72,25.7,0.07,8.093,212.5,0
"186",910200618,1998-03-18,103.02,6.05,34.9,0.08,8.094,212.8,0
"187",910200617,1998-03-18,98.97,6.6,44.9,0.09,8.094,213,0
"188",910200616,1998-03-18,96.09,7.37,59.7,0.11,8.095,212,0
"189",910200615,1998-03-18,94.72,6.04,74.6,0.14,8.082,209.8,0.01
"190",920200619,1998-04-15,97.26,5.34,25.1,0.11,8.085,215.5,0.01
"191",920200617,1998-04-15,91.06,6.03,45.5,0.11,8.085,215.5,0.01
"192",920200616,1998-04-15,87.3,7.15,60.3,0.12,8.085,215.5,0.01
"193",920200615,1998-04-15,82.8,7.48,74.3,0.11,8.084,215.5,0.01
"194",930200617,1998-05-13,88.22,5.93,44.7,0.09,8.081,217.4,0
"195",930200616,1998-05-13,83.87,5.69,59.8,0.11,8.079,217.8,0.01
"196",930200615,1998-05-13,82.11,5.72,74.6,0.11,8.081,217.6,0.01
"197",940200318,1998-06-17,95.98,6.12,35.7,0.07,8.081,213.4,0
"198",940200317,1998-06-17,96.57,5.99,45.9,0.07,8.086,213.4,0
"199",940200315,1998-06-17,92.86,6.08,74.7,0.14,8.081,216.2,0
